,date,fav,dog,homeaway,diffbasset,sharebasset,totalbasset,diffpredictive,totalpredictive,diffsos,totalsos,difffut_sos,totalfut_sos,diffseas_sos,totalseas_sos,difflast5,totallast5,difflast10,totallast10,diffluck,totalluck,diffconsistency,totalconsistency,diffvs_top10,totalvs_top10,diffLAZ,shareLAZ,totalLAZ,diffARG,shareARG,totalARG,diffMAS,shareMAS,totalMAS,diffSAG,shareSAG,totalSAG,diffHOW,shareHOW,totalHOW,diffBIL,shareBIL,totalBIL,diffMAR,shareMAR,totalMAR,diffDOK,shareDOK,totalDOK,diffDES,shareDES,totalDES,diffMOR,shareMOR,totalMOR,diffBRN,shareBRN,totalBRN,diffPIG,sharePIG,totalPIG,diffCGV,shareCGV,totalCGV,diffBDF,shareBDF,totalBDF,homeawaydiff,fieldeffect,juice,line
675,2017-11-25,AIR FORCE,UTAH STATE,0,35.0,0.5806451612903226,217.0,-3.0,-8.0,2.4,-9.2,-4.0,-8.0,1.7999999999999998,-9.2,-9.0,-8.0,-8.2,-8.0,-0.20000000000000007,-1.4,-1.8000000000000007,33.8,23.8,-23.8,19.0,0.5549132947976878,173.0,13.0,0.5408805031446541,159.0,11.0,0.5321637426900585,171.0,14.0,0.5426829268292683,164.0,17.0,0.5515151515151515,165.0,-3.0,0.49122807017543857,171.0,23.0,0.5680473372781065,169.0,8.0,0.5240963855421686,166.0,11.0,0.5294117647058824,187.0,26.0,0.5915492957746479,142.0,22.0,0.5705128205128205,156.0,21.0,0.5644171779141104,163.0,30.0,0.5903614457831325,166.0,29.0,0.588957055214724,163.0,-8.1,0.2,0.0,-1.5
676,2017-11-25,ALABAMA,AUBURN,1,-2.0,0.25,4.0,7.600000000000001,51.6,-3.5,15.5,-0.6000000000000014,51.6,-1.700000000000001,21.1,3.200000000000003,51.0,6.800000000000001,54.8,0.5,0.30000000000000004,-3.3000000000000007,31.7,-29.3,29.3,-10.0,0.14285714285714285,14.0,-9.0,0.09090909090909091,11.0,-6.0,0.125,8.0,-3.0,0.2,5.0,-8.0,0.16666666666666666,12.0,-7.0,0.1111111111111111,9.0,-6.0,0.2,10.0,-4.0,0.16666666666666666,6.0,-4.0,0.16666666666666666,6.0,-2.0,0.25,4.0,-7.0,0.1111111111111111,9.0,-3.0,0.2,5.0,-9.0,0.09090909090909091,11.0,-4.0,0.25,8.0,12.099999999999998,2.6,0.0,-5.0
677,2017-11-25,APP STATE,GEORGIA STATE,1,-51.0,0.4105263157894737,285.0,11.3,-18.7,5.0,-25.0,-1.0999999999999996,-29.9,4.1,-25.700000000000003,3.200000000000001,-24.4,10.200000000000001,-20.4,-2.3,0.7,-3.8000000000000007,23.2,31.7,-25.3,-14.0,0.4631578947368421,190.0,-14.0,0.46153846153846156,182.0,-19.0,0.4517766497461929,197.0,-23.0,0.441025641025641,195.0,-13.0,0.46596858638743455,191.0,-15.0,0.45714285714285713,175.0,-30.0,0.4157303370786517,178.0,-34.0,0.41237113402061853,194.0,-26.0,0.41875,160.0,-21.0,0.44776119402985076,201.0,-23.0,0.44651162790697674,215.0,-14.0,0.46788990825688076,218.0,-7.0,0.46846846846846846,111.0,-22.0,0.44660194174757284,206.0,15.9,11.7,0.0,-7.0
678,2017-11-25,ARIZONA,ARIZONA ST,1,-20.0,0.4019607843137255,102.0,2.1999999999999997,9.0,-3.1999999999999997,5.0,4.800000000000001,9.0,-2.5,5.3,1.5,10.9,2.0,11.8,-0.7999999999999999,0.6,-2.9000000000000004,25.700000000000003,-22.3,22.3,-10.0,0.4431818181818182,88.0,-4.0,0.47959183673469385,98.0,2.0,0.51,100.0,-2.0,0.4880952380952381,84.0,-4.0,0.4777777777777778,90.0,-12.0,0.4268292682926829,82.0,-2.0,0.4897959183673469,98.0,-10.0,0.44047619047619047,84.0,-4.0,0.47560975609756095,82.0,-6.0,0.46938775510204084,98.0,-4.0,0.4777777777777778,90.0,-3.0,0.4810126582278481,79.0,-18.0,0.41818181818181815,110.0,-1.0,0.49473684210526314,95.0,6.6000000000000005,6.7,0.0,-2.0
679,2017-11-25,ARKANSAS ST,LA MONROE,1,-49.0,0.3870967741935484,217.0,10.6,-14.6,0.09999999999999964,-23.1,-8.1,-7.1,-0.9000000000000004,-20.700000000000003,17.4,-13.6,11.8,-13.0,-0.20000000000000007,-1.6,2.5,25.3,2.5,-2.5,-17.0,0.458128078817734,203.0,-25.0,0.4301675977653631,179.0,-26.0,0.435,200.0,-34.0,0.4114583333333333,192.0,-14.0,0.46464646464646464,198.0,-46.0,0.3776595744680851,188.0,-37.0,0.3706293706293706,143.0,-33.0,0.4098360655737705,183.0,-51.0,0.3473053892215569,167.0,-30.0,0.40963855421686746,166.0,-31.0,0.41621621621621624,185.0,-25.0,0.4371859296482412,199.0,-61.0,0.28368794326241137,141.0,-27.0,0.42105263157894735,171.0,10.4,3.8,0.0,-8.0
680,2017-11-25,BOISE STATE,FRESNO ST,1,-47.0,0.2956521739130435,115.0,7.5,8.3,3.0,-6.4,-0.5000000000000004,8.3,2.7,-5.1,13.5,14.7,7.5,10.3,-0.30000000000000004,1.3,-2.5999999999999996,30.4,3.3,-3.3,-26.0,0.3333333333333333,78.0,-17.0,0.3559322033898305,59.0,-30.0,0.34375,96.0,-30.0,0.3333333333333333,90.0,-20.0,0.3076923076923077,52.0,-14.0,0.3870967741935484,62.0,-24.0,0.32857142857142857,70.0,-29.0,0.34408602150537637,93.0,-11.0,0.4067796610169492,59.0,-23.0,0.35443037974683544,79.0,-38.0,0.31,100.0,-34.0,0.32653061224489793,98.0,-20.0,0.32142857142857145,56.0,-36.0,0.3125,96.0,12.700000000000001,-4.4,0.0,-7.0
681,2017-11-25,BOSTON COL,SYRACUSE,1,-28.0,0.36538461538461536,104.0,5.1,7.300000000000001,2.2,11.2,1.8999999999999995,7.3,2.3,10.899999999999999,19.8,20.8,7.4,8.6,1.1,0.29999999999999993,0.8999999999999986,33.5,-29.299999999999997,15.499999999999998,-31.0,0.3465346534653465,101.0,-35.0,0.32673267326732675,101.0,-23.0,0.35802469135802467,81.0,-29.0,0.3564356435643564,101.0,-31.0,0.3465346534653465,101.0,-19.0,0.42962962962962964,135.0,-36.0,0.34210526315789475,114.0,-12.0,0.4375,96.0,-28.0,0.375,112.0,-40.0,0.3113207547169811,106.0,-40.0,0.3181818181818182,110.0,-33.0,0.3146067415730337,89.0,-42.0,0.3618421052631579,152.0,-47.0,0.26732673267326734,101.0,13.0,-4.2,0.0,-3.0
682,2017-11-25,BYU,HAWAII,1,-48.0,0.4294117647058823,340.0,8.799999999999999,-27.6,5.1,-15.1,-1.799999999999999,-27.6,4.6000000000000005,-16.0,9.1,-33.9,9.399999999999999,-33.0,-1.5,-1.2999999999999998,-1.700000000000001,18.9,-15.8,-15.8,-10.0,0.4780701754385965,228.0,-6.0,0.4868421052631579,228.0,-10.0,0.47844827586206895,232.0,-18.0,0.4590909090909091,220.0,-6.0,0.48672566371681414,226.0,-6.0,0.48695652173913045,230.0,-7.0,0.48444444444444446,225.0,-25.0,0.4418604651162791,215.0,-20.0,0.45495495495495497,222.0,-19.0,0.45739910313901344,223.0,-22.0,0.45,220.0,-25.0,0.4418604651162791,215.0,-1.0,0.497737556561086,221.0,-20.0,0.45652173913043476,230.0,10.599999999999998,-0.4,0.0,-3.5
683,2017-11-25,CINCINNATI,CONNECTICUT,0,-6.0,0.49162011173184356,358.0,3.099999999999998,-29.7,0.6000000000000005,-11.8,-10.099999999999998,-29.7,-0.40000000000000036,-13.4,-2.6000000000000014,-34.6,3.0,-32.0,-0.7,0.5,0.40000000000000036,24.4,0.0,0.0,-7.0,0.48325358851674644,209.0,-2.0,0.4954128440366973,218.0,1.0,0.5023696682464455,211.0,-5.0,0.4888888888888889,225.0,-5.0,0.48826291079812206,213.0,-5.0,0.48868778280542985,221.0,4.0,0.5092592592592593,216.0,-3.0,0.49321266968325794,221.0,1.0,0.5022421524663677,223.0,3.0,0.5063829787234042,235.0,-1.0,0.4977973568281938,227.0,7.0,0.515695067264574,223.0,-1.0,0.4977973568281938,227.0,12.0,0.5256410256410257,234.0,-7.1,-10.4,0.0,-6.5
684,2017-11-25,CLEMSON,S CAROLINA,1,-47.0,0.11475409836065574,61.0,19.2,26.599999999999998,9.1,10.299999999999999,-12.2,26.599999999999998,7.6,11.4,15.599999999999998,20.2,20.6,27.6,-0.7,2.0999999999999996,-3.5,22.9,16.3,36.7,-25.0,0.12121212121212122,33.0,-29.0,0.08571428571428572,35.0,-33.0,0.07692307692307693,39.0,-36.0,0.05,40.0,-29.0,0.08571428571428572,35.0,-22.0,0.15625,32.0,-34.0,0.13043478260869565,46.0,-30.0,0.08333333333333333,36.0,-26.0,0.15789473684210525,38.0,-32.0,0.13636363636363635,44.0,-46.0,0.08928571428571429,56.0,-32.0,0.11904761904761904,42.0,-26.0,0.11764705882352941,34.0,-29.0,0.16279069767441862,43.0,25.6,10.9,0.0,-13.5
685,2017-11-25,FLA ATLANTIC,CHARLOTTE,1,-190.0,0.15827338129496402,278.0,30.1,-24.1,7.9,-19.9,-23.1,-24.1,6.500000000000001,-20.1,42.1,-18.299999999999997,39.3,-20.7,0.39999999999999997,-1.0,0.8999999999999986,26.5,8.2,8.2,-92.0,0.21951219512195122,164.0,-92.0,0.22289156626506024,166.0,-72.0,0.3021978021978022,182.0,-76.0,0.29120879120879123,182.0,-96.0,0.2037037037037037,162.0,-85.0,0.2543352601156069,173.0,-99.0,0.19254658385093168,161.0,-72.0,0.3021978021978022,182.0,-54.0,0.3532608695652174,184.0,-87.0,0.24260355029585798,169.0,-81.0,0.2658959537572254,173.0,-67.0,0.32085561497326204,187.0,-97.0,0.1949685534591195,159.0,-96.0,0.1962025316455696,158.0,37.2,-4.0,0.0,-23.5
686,2017-11-25,FLORIDA ST,FLORIDA,1,-33.0,0.3700787401574803,127.0,9.5,12.3,7.5,13.3,-9.0,6.0,5.3999999999999995,12.0,9.3,0.5,9.4,7.4,-0.7,-1.7,4.800000000000001,24.0,25.3,-3.3000000000000007,-18.0,0.4307692307692308,130.0,-29.0,0.3669724770642202,109.0,-26.0,0.3645833333333333,96.0,-25.0,0.3626373626373626,91.0,-24.0,0.4076923076923077,130.0,-2.0,0.49166666666666664,120.0,-15.0,0.44525547445255476,137.0,-25.0,0.345679012345679,81.0,-12.0,0.44339622641509435,106.0,-1.0,0.49473684210526314,95.0,-12.0,0.4375,96.0,-15.0,0.41379310344827586,87.0,-11.0,0.46405228758169936,153.0,-1.0,0.4942528735632184,87.0,1.6000000000000005,-14.6,0.0,-4.5
687,2017-11-25,GEORGIA,GA TECH,1,-22.0,0.13333333333333333,30.0,12.399999999999999,29.0,2.3999999999999995,13.2,-5.399999999999999,29.0,1.6999999999999993,14.7,14.299999999999999,28.1,15.799999999999999,32.0,1.7000000000000002,-0.09999999999999998,0.8000000000000007,26.2,0.7999999999999989,25.6,-36.0,0.10869565217391304,46.0,-39.0,0.10204081632653061,49.0,-28.0,0.15,40.0,-24.0,0.2,40.0,-47.0,0.07272727272727272,55.0,-41.0,0.08163265306122448,49.0,-38.0,0.1346153846153846,52.0,-23.0,0.12903225806451613,31.0,-42.0,0.125,56.0,-36.0,0.14,50.0,-32.0,0.18,50.0,-35.0,0.16981132075471697,53.0,-51.0,0.09523809523809523,63.0,-43.0,0.13559322033898305,59.0,9.7,-15.5,0.0,-12.0
688,2017-11-25,KANSAS ST,IOWA STATE,0,23.0,0.6885245901639344,61.0,-2.8,17.4,-2.5999999999999996,10.6,-4.200000000000001,17.4,-2.6000000000000005,11.2,-5.1,23.299999999999997,-8.899999999999999,21.3,-0.8999999999999999,-0.3,-1.8000000000000007,23.8,-21.0,43.8,20.0,0.625,80.0,29.0,0.6629213483146067,89.0,17.0,0.6440677966101694,59.0,14.0,0.6166666666666667,60.0,31.0,0.6666666666666666,93.0,15.0,0.5974025974025974,77.0,21.0,0.6721311475409836,61.0,10.0,0.6,50.0,12.0,0.575,80.0,4.0,0.5344827586206896,58.0,12.0,0.6153846153846154,52.0,2.0,0.52,50.0,8.0,0.5408163265306123,98.0,12.0,0.6363636363636364,44.0,-13.8,19.1,0.0,-1.5
689,2017-11-25,LA LAFAYETTE,GA SOUTHERN,0,10.0,0.5142045454545454,352.0,-1.1000000000000014,-34.1,-3.0,-23.0,3.9000000000000004,-27.700000000000003,-1.9000000000000004,-23.9,-3.4000000000000004,-33.6,0.09999999999999787,-38.7,3.5,-0.7000000000000002,-8.100000000000001,31.5,8.5,-8.5,-13.0,0.4723404255319149,235.0,-14.0,0.4698275862068966,232.0,-15.0,0.46808510638297873,235.0,-6.0,0.48695652173913045,230.0,-20.0,0.4576271186440678,236.0,-22.0,0.45132743362831856,226.0,-24.0,0.4469026548672566,226.0,4.0,0.508695652173913,230.0,-21.0,0.44976076555023925,209.0,-9.0,0.4796380090497738,221.0,6.0,0.5132743362831859,226.0,-11.0,0.47619047619047616,231.0,-38.0,0.405,200.0,-5.0,0.4885844748858447,219.0,8.100000000000001,-24.1,0.0,-6.0
690,2017-11-25,LA TECH,TX-SAN ANT,0,3.0,0.5051194539249146,293.0,-1.1000000000000014,-17.5,3.5999999999999996,-24.799999999999997,-8.2,-15.2,1.6000000000000014,-23.0,0.1999999999999993,-27.0,-2.5,-18.5,-0.09999999999999998,-1.7000000000000002,0.10000000000000142,19.5,0.0,0.0,4.0,0.510752688172043,186.0,14.0,0.5397727272727273,176.0,2.0,0.5050505050505051,198.0,4.0,0.5106382978723404,188.0,8.0,0.521978021978022,182.0,18.0,0.5535714285714286,168.0,13.0,0.5355191256830601,183.0,2.0,0.5052631578947369,190.0,1.0,0.5029585798816568,169.0,10.0,0.526595744680851,188.0,8.0,0.5202020202020202,198.0,10.0,0.5252525252525253,198.0,23.0,0.5751633986928104,153.0,15.0,0.5401069518716578,187.0,-11.200000000000001,-4.1,0.0,-2.0
691,2017-11-25,LOUISVILLE,KENTUCKY,1,-57.0,0.21782178217821782,101.0,11.9,12.1,6.2,5.2,-4.9,12.1,5.3,5.7,19.1,12.1,12.3,9.3,-1.9,0.7000000000000001,0.5999999999999996,25.6,-1.7999999999999998,-11.399999999999999,-14.0,0.4146341463414634,82.0,-23.0,0.36470588235294116,85.0,-21.0,0.352112676056338,71.0,-29.0,0.32941176470588235,85.0,-15.0,0.40963855421686746,83.0,-1.0,0.49382716049382713,81.0,-31.0,0.3402061855670103,97.0,-37.0,0.27710843373493976,83.0,-17.0,0.38028169014084506,71.0,-44.0,0.23809523809523808,84.0,-49.0,0.23076923076923078,91.0,-28.0,0.3372093023255814,86.0,-8.0,0.45,80.0,-40.0,0.26744186046511625,86.0,13.200000000000001,3.8,0.0,-8.5
692,2017-11-25,LSU,TEXAS A&M,0,-10.0,0.421875,64.0,5.3999999999999995,16.8,2.3000000000000003,7.5,-12.399999999999999,16.8,1.1,8.3,13.0,25.6,4.199999999999999,14.0,0.0,1.0,1.0,23.2,10.0,31.6,-11.0,0.4153846153846154,65.0,-16.0,0.38235294117647056,68.0,-14.0,0.38333333333333336,60.0,-15.0,0.36363636363636365,55.0,-12.0,0.4032258064516129,62.0,-12.0,0.375,48.0,-16.0,0.38235294117647056,68.0,-17.0,0.34545454545454546,55.0,-8.0,0.4375,64.0,-13.0,0.38181818181818183,55.0,-9.0,0.42105263157894735,57.0,-18.0,0.29545454545454547,44.0,-15.0,0.38095238095238093,63.0,-23.0,0.2982456140350877,57.0,0.7999999999999998,7.3,0.0,-10.5
693,2017-11-25,MARSHALL,S MISSISSIPPI,0,-36.0,0.425,240.0,3.7,-11.3,3.1999999999999993,-22.2,-10.7,-11.3,2.0999999999999996,-21.299999999999997,4.6000000000000005,-13.0,4.800000000000001,-10.0,-0.2,-0.6000000000000001,-0.9000000000000004,27.299999999999997,0.0,0.0,-16.0,0.44666666666666666,150.0,-13.0,0.4557823129251701,147.0,-8.0,0.47752808988764045,178.0,-15.0,0.45714285714285713,175.0,-18.0,0.4357142857142857,140.0,-12.0,0.4642857142857143,168.0,-20.0,0.4264705882352941,136.0,-8.0,0.4764705882352941,170.0,4.0,0.5131578947368421,152.0,-11.0,0.4685714285714286,175.0,-4.0,0.4887640449438202,178.0,-3.0,0.4918032786885246,183.0,-2.0,0.49122807017543857,114.0,-9.0,0.47368421052631576,171.0,-3.0999999999999996,-5.0,0.0,-2.0
694,2017-11-25,MEMPHIS,E CAROLINA,0,-130.0,0.16494845360824742,194.0,24.700000000000003,-10.500000000000002,6.3,-9.9,-31.799999999999997,-10.6,4.7,-10.100000000000001,23.8,5.800000000000001,25.299999999999997,-10.499999999999998,1.1,1.9,-2.3000000000000007,30.900000000000002,0.0,0.0,-80.0,0.1875,128.0,-88.0,0.19014084507042253,142.0,-70.0,0.23880597014925373,134.0,-76.0,0.2246376811594203,138.0,-85.0,0.20689655172413793,145.0,-84.0,0.171875,128.0,-108.0,0.10869565217391304,138.0,-68.0,0.2792207792207792,154.0,-80.0,0.1774193548387097,124.0,-70.0,0.26666666666666666,150.0,-74.0,0.22388059701492538,134.0,-68.0,0.234375,128.0,-99.0,0.104,125.0,-77.0,0.1968503937007874,127.0,23.099999999999998,-19.4,0.0,-29.5
695,2017-11-25,MICHIGAN ST,RUTGERS,1,-69.0,0.2958579881656805,169.0,12.3,0.5,6.3,8.7,-5.3,0.5,5.4,8.0,11.399999999999999,-0.20000000000000018,13.3,2.3,1.9999999999999998,3.5999999999999996,-5.6,26.799999999999997,12.9,-9.700000000000001,-64.0,0.18,100.0,-65.0,0.2018348623853211,109.0,-60.0,0.18085106382978725,94.0,-53.0,0.26126126126126126,111.0,-74.0,0.16964285714285715,112.0,-76.0,0.14150943396226415,106.0,-57.0,0.2755905511811024,127.0,-46.0,0.3333333333333333,138.0,-78.0,0.16379310344827586,116.0,-59.0,0.2601626016260163,123.0,-56.0,0.2878787878787879,132.0,-42.0,0.32786885245901637,122.0,-72.0,0.2391304347826087,138.0,-55.0,0.3103448275862069,145.0,8.6,-6.3,0.0,-13.5
