,date,fav,dog,homeaway,diffbasset,sharebasset,totalbasset,diffpredictive,totalpredictive,diffsos,totalsos,difffut_sos,totalfut_sos,diffseas_sos,totalseas_sos,difflast5,totallast5,difflast10,totallast10,diffluck,totalluck,diffconsistency,totalconsistency,diffvs_top10,totalvs_top10,diffLAZ,shareLAZ,totalLAZ,diffARG,shareARG,totalARG,diffMAS,shareMAS,totalMAS,diffSAG,shareSAG,totalSAG,diffHOW,shareHOW,totalHOW,diffBIL,shareBIL,totalBIL,diffMAR,shareMAR,totalMAR,diffDOK,shareDOK,totalDOK,diffDES,shareDES,totalDES,diffMOR,shareMOR,totalMOR,diffBRN,shareBRN,totalBRN,diffPIG,sharePIG,totalPIG,diffCGV,shareCGV,totalCGV,diffBDF,shareBDF,totalBDF,homeawaydiff,fieldeffect,juice,line
696,2017-11-25,MIDDLE TENN,OLD DOMINION,0,-27.0,0.46301369863013697,365.0,6.800000000000001,-29.2,2.799999999999999,-23.4,-13.8,-29.2,1.5999999999999996,-23.799999999999997,2.5999999999999996,-30.799999999999997,9.6,-30.4,-1.3,0.9000000000000001,2.1000000000000014,25.5,0.0,0.0,-3.0,0.49261083743842365,203.0,-7.0,0.4830917874396135,207.0,-13.0,0.4682926829268293,205.0,-11.0,0.47465437788018433,217.0,-2.0,0.495,200.0,11.0,0.5265700483091788,207.0,-20.0,0.4504950495049505,202.0,-13.0,0.4703196347031963,219.0,2.0,0.5054945054945055,182.0,-5.0,0.4890829694323144,229.0,-10.0,0.47767857142857145,224.0,-5.0,0.48847926267281105,217.0,2.0,0.5055555555555555,180.0,-18.0,0.45794392523364486,214.0,-2.700000000000001,-13.4,0.0,-13.5
697,2017-11-25,N MEX STATE,IDAHO,0,-62.0,0.4109195402298851,348.0,4.099999999999998,-31.7,3.700000000000001,-23.9,-10.1,-31.9,1.5,-25.3,2.0,-33.4,6.699999999999999,-30.3,0.9,-0.7000000000000001,-6.0,22.8,0.0,0.0,-5.0,0.48936170212765956,235.0,-15.0,0.4666666666666667,225.0,-1.0,0.4978723404255319,235.0,-9.0,0.4805194805194805,231.0,-8.0,0.4827586206896552,232.0,-15.0,0.4663677130044843,223.0,-15.0,0.46411483253588515,209.0,-18.0,0.4590909090909091,220.0,-13.0,0.4694835680751174,213.0,-6.0,0.48717948717948717,234.0,-3.0,0.49356223175965663,233.0,1.0,0.502127659574468,235.0,-14.0,0.46464646464646464,198.0,-2.0,0.4956896551724138,232.0,1.6999999999999993,-13.6,0.0,-10.0
698,2017-11-25,NC STATE,N CAROLINA,0,-48.0,0.2692307692307692,104.0,12.399999999999999,7.8,6.2,9.2,-19.4,7.8,4.5,9.1,14.8,8.2,15.200000000000001,8.4,1.9,-0.5,-6.0,23.0,14.2,0.0,-58.0,0.22115384615384615,104.0,-61.0,0.23931623931623933,117.0,-50.0,0.2222222222222222,90.0,-43.0,0.2736842105263158,95.0,-69.0,0.21951219512195122,123.0,-52.0,0.2903225806451613,124.0,-71.0,0.2204724409448819,127.0,-34.0,0.2976190476190476,84.0,-58.0,0.25,116.0,-40.0,0.3,100.0,-20.0,0.3684210526315789,76.0,-20.0,0.36486486486486486,74.0,-70.0,0.2569444444444444,144.0,-42.0,0.19117647058823528,68.0,17.2,-6.7,0.0,-16.0
699,2017-11-25,NEVADA,UNLV,0,-6.0,0.48880597014925375,268.0,0.40000000000000036,-21.6,4.6,-15.6,-7.4,-21.6,3.6000000000000005,-16.2,6.8,-17.2,-2.9000000000000004,-20.9,-1.6,-2.0,-3.8000000000000007,28.8,2.5,-2.5,14.0,0.5333333333333333,210.0,7.0,0.5174129353233831,201.0,17.0,0.5395348837209303,215.0,6.0,0.5148514851485149,202.0,8.0,0.5198019801980198,202.0,17.0,0.5395348837209303,215.0,2.0,0.5043103448275862,232.0,-5.0,0.4878048780487805,205.0,23.0,0.5539906103286385,213.0,6.0,0.515,200.0,-6.0,0.4854368932038835,206.0,-4.0,0.49029126213592233,206.0,23.0,0.5550239234449761,209.0,-6.0,0.48598130841121495,214.0,-12.600000000000001,2.3,-5.0,-3.5
700,2017-11-25,NORTH TEXAS,RICE,1,-100.0,0.345679012345679,324.0,15.4,-32.6,2.1999999999999993,-19.8,-8.4,-32.6,1.4000000000000004,-20.799999999999997,14.9,-34.1,17.3,-33.3,3.2,1.5999999999999999,1.6000000000000014,23.0,0.0,0.0,-61.0,0.3386243386243386,189.0,-65.0,0.328042328042328,189.0,-50.0,0.3786407766990291,206.0,-38.0,0.41037735849056606,212.0,-75.0,0.2857142857142857,175.0,-74.0,0.29213483146067415,178.0,-50.0,0.3697916666666667,192.0,-27.0,0.43891402714932126,221.0,-78.0,0.2833333333333333,180.0,-39.0,0.4075829383886256,211.0,-37.0,0.4131455399061033,213.0,-45.0,0.3891625615763547,203.0,-78.0,0.27586206896551724,174.0,-42.0,0.39805825242718446,206.0,18.7,-1.4,0.0,-12.0
701,2017-11-25,NORTHWESTERN,ILLINOIS,1,-106.0,0.18072289156626506,166.0,21.3,-0.5,7.300000000000001,3.5000000000000004,-14.3,-0.5,6.0,3.1999999999999997,21.9,12.700000000000001,22.200000000000003,2.4000000000000004,1.6,0.20000000000000007,4.0,24.4,8.0,4.6,-88.0,0.15079365079365079,126.0,-94.0,0.14393939393939395,132.0,-88.0,0.15079365079365079,126.0,-81.0,0.17073170731707318,123.0,-91.0,0.15267175572519084,131.0,-71.0,0.21138211382113822,123.0,-87.0,0.16279069767441862,129.0,-68.0,0.25,136.0,-91.0,0.1678832116788321,137.0,-83.0,0.11926605504587157,109.0,-80.0,0.11538461538461539,104.0,-81.0,0.15966386554621848,119.0,-92.0,0.176056338028169,142.0,-85.0,0.18045112781954886,133.0,20.299999999999997,0.3,0.0,-16.5
702,2017-11-25,NOTRE DAME,STANFORD,1,-11.0,0.34285714285714286,35.0,4.999999999999998,33.8,2.4000000000000004,14.200000000000001,1.9999999999999982,33.8,2.500000000000001,16.1,2.8000000000000007,31.400000000000002,9.500000000000002,33.7,0.4,0.0,0.09999999999999964,31.1,-8.100000000000001,40.5,-19.0,0.12,25.0,-11.0,0.28,25.0,-23.0,0.20512820512820512,39.0,-7.0,0.37037037037037035,27.0,-16.0,0.19230769230769232,26.0,-7.0,0.37037037037037035,27.0,-15.0,0.3076923076923077,39.0,-6.0,0.39285714285714285,28.0,-9.0,0.3333333333333333,27.0,-7.0,0.3793103448275862,29.0,-2.0,0.4642857142857143,28.0,-2.0,0.46153846153846156,26.0,-5.0,0.42857142857142855,35.0,-4.0,0.4583333333333333,48.0,-0.7000000000000028,-15.9,-15.0,-3.0
703,2017-11-25,OHIO STATE,MICHIGAN,1,-27.0,0.06451612903225806,31.0,13.7,40.3,2.7,15.100000000000001,-6.699999999999999,40.3,2.1000000000000005,17.5,10.4,38.2,14.399999999999999,39.0,-1.3,-0.9000000000000001,10.700000000000001,30.9,7.6000000000000005,17.2,-11.0,0.2608695652173913,23.0,-7.0,0.34782608695652173,23.0,-4.0,0.4166666666666667,24.0,-13.0,0.24,25.0,-10.0,0.3076923076923077,26.0,-10.0,0.32142857142857145,28.0,-13.0,0.19047619047619047,21.0,-22.0,0.07692307692307693,26.0,-18.0,0.23529411764705882,34.0,-20.0,0.08333333333333333,24.0,-15.0,0.10526315789473684,19.0,-12.0,0.25,24.0,-20.0,0.2222222222222222,36.0,-12.0,0.3,30.0,20.6,3.6,0.0,-13.0
704,2017-11-25,OKLAHOMA,W VIRGINIA,0,-35.0,0.1111111111111111,45.0,14.499999999999998,29.299999999999997,6.5,15.3,-21.5,29.299999999999997,4.6000000000000005,16.2,20.700000000000003,30.5,15.299999999999999,30.5,0.7,1.7,6.1,19.9,45.5,45.5,-33.0,0.17647058823529413,51.0,-30.0,0.21153846153846154,52.0,-25.0,0.14285714285714285,35.0,-33.0,0.14893617021276595,47.0,-33.0,0.17647058823529413,51.0,-36.0,0.125,48.0,-35.0,0.02702702702702703,37.0,-32.0,0.15217391304347827,46.0,-26.0,0.11764705882352941,34.0,-37.0,0.10638297872340426,47.0,-32.0,0.1,40.0,-33.0,0.05405405405405406,37.0,-37.0,0.10638297872340426,47.0,-33.0,0.02857142857142857,35.0,11.500000000000002,9.6,0.0,-23.0
705,2017-11-25,OKLAHOMA ST,KANSAS,0,-182.0,0.04040404040404041,198.0,37.0,-1.2000000000000028,13.4,3.4000000000000004,-25.4,-1.200000000000001,11.899999999999999,3.3,30.299999999999997,-3.0999999999999996,39.7,-2.900000000000002,0.09999999999999998,-0.9,-1.200000000000001,26.6,28.0,-11.200000000000001,-101.0,0.14184397163120568,141.0,-97.0,0.16551724137931034,145.0,-102.0,0.1015625,128.0,-108.0,0.10294117647058823,136.0,-98.0,0.1597222222222222,144.0,-105.0,0.13793103448275862,145.0,-105.0,0.09923664122137404,131.0,-111.0,0.08888888888888889,135.0,-111.0,0.11188811188811189,143.0,-102.0,0.11940298507462686,134.0,-97.0,0.112,125.0,-91.0,0.16296296296296298,135.0,-104.0,0.15333333333333332,150.0,-98.0,0.1171875,128.0,28.5,-14.7,0.0,-41.0
706,2017-11-25,OREGON,OREGON ST,0,-91.0,0.25668449197860965,187.0,18.0,-6.0,3.8,4.3999999999999995,-25.0,-6.0,2.3,3.9000000000000004,6.7,-6.8999999999999995,18.5,-9.3,0.8,-1.0,7.5,31.5,7.0,-30.4,-81.0,0.23870967741935484,155.0,-74.0,0.27439024390243905,164.0,-73.0,0.281437125748503,167.0,-72.0,0.24285714285714285,140.0,-69.0,0.2909090909090909,165.0,-68.0,0.24242424242424243,132.0,-60.0,0.32142857142857145,168.0,-75.0,0.22627737226277372,137.0,-76.0,0.25949367088607594,158.0,-64.0,0.2647058823529412,136.0,-46.0,0.31451612903225806,124.0,-52.0,0.2833333333333333,120.0,-61.0,0.33689839572192515,187.0,-56.0,0.2878787878787879,132.0,26.5,-15.3,0.0,-25.0
707,2017-11-25,PENN STATE,MARYLAND,1,-89.0,0.0594059405940594,101.0,25.8,22.2,4.500000000000001,15.100000000000001,-18.8,22.2,3.200000000000001,15.4,25.4,15.6,28.799999999999997,19.6,-1.3,0.30000000000000004,-1.200000000000001,26.6,38.2,20.8,-58.0,0.09722222222222222,72.0,-64.0,0.07894736842105263,76.0,-49.0,0.13432835820895522,67.0,-68.0,0.0641025641025641,78.0,-66.0,0.0875,80.0,-81.0,0.10679611650485436,103.0,-78.0,0.10204081632653061,98.0,-70.0,0.07317073170731707,82.0,-72.0,0.11702127659574468,94.0,-63.0,0.1111111111111111,81.0,-69.0,0.08433734939759036,83.0,-67.0,0.0963855421686747,83.0,-93.0,0.08108108108108109,111.0,-72.0,0.11702127659574468,94.0,28.6,3.6,0.0,-23.5
708,2017-11-25,PURDUE,INDIANA,0,-3.0,0.48314606741573035,89.0,2.5999999999999996,10.6,2.1999999999999997,9.4,-9.6,10.6,1.3000000000000007,9.5,-0.40000000000000036,9.6,5.199999999999999,16.0,-0.20000000000000007,-1.4,2.4000000000000004,27.200000000000003,23.2,11.2,-11.0,0.44329896907216493,97.0,-16.0,0.4148936170212766,94.0,-8.0,0.45454545454545453,88.0,-6.0,0.4642857142857143,84.0,-19.0,0.40594059405940597,101.0,-7.0,0.47107438016528924,121.0,-14.0,0.4339622641509434,106.0,-7.0,0.4631578947368421,95.0,-4.0,0.4859154929577465,142.0,-2.0,0.4861111111111111,72.0,-7.0,0.4567901234567901,81.0,-12.0,0.4387755102040816,98.0,2.0,0.5064102564102564,156.0,-9.0,0.4457831325301205,83.0,1.1000000000000005,3.8,-15.0,-2.5
709,2017-11-25,S METHODIST,TULANE,0,-70.0,0.3333333333333333,210.0,5.7,-6.3,3.2,-6.6000000000000005,-12.7,-6.3,2.0,-6.6,6.300000000000001,-12.3,6.800000000000001,-5.0,0.1,-0.1,-5.300000000000001,22.3,16.6,-16.6,-22.0,0.42028985507246375,138.0,-24.0,0.4178082191780822,146.0,-17.0,0.44516129032258067,155.0,-13.0,0.45751633986928103,153.0,-25.0,0.40875912408759124,137.0,-24.0,0.42857142857142855,168.0,-30.0,0.3958333333333333,144.0,-12.0,0.46153846153846156,156.0,-15.0,0.4550898203592814,167.0,-10.0,0.4695121951219512,164.0,-5.0,0.48366013071895425,153.0,-2.0,0.4936708860759494,158.0,-17.0,0.4429530201342282,149.0,-17.0,0.4508670520231214,173.0,18.4,-12.7,0.0,-7.0
710,2017-11-25,TEMPLE,TULSA,1,-24.0,0.4482758620689655,232.0,-0.40000000000000036,-13.6,-2.7,-7.3,7.4,-13.6,-1.6999999999999997,-7.9,-3.0,-8.6,-1.0,-15.8,2.3000000000000003,-1.9000000000000001,-4.5,30.1,-10.1,-10.1,-26.0,0.42934782608695654,184.0,-11.0,0.4717948717948718,195.0,-15.0,0.45664739884393063,173.0,-10.0,0.47093023255813954,172.0,-20.0,0.44623655913978494,186.0,-22.0,0.445,200.0,-17.0,0.455026455026455,189.0,-2.0,0.4943820224719101,178.0,-24.0,0.43548387096774194,186.0,-1.0,0.4973544973544973,189.0,-6.0,0.4827586206896552,174.0,-8.0,0.47701149425287354,174.0,-29.0,0.42786069651741293,201.0,-1.0,0.4971751412429379,177.0,-0.1999999999999993,-9.2,0.0,-3.5
711,2017-11-25,TENNESSEE,VANDERBILT,0,-16.0,0.46825396825396826,252.0,3.2,-9.8,2.1,-0.10000000000000009,-10.2,-9.8,1.1,-0.9,6.800000000000001,-21.8,3.8999999999999995,-19.5,-0.4,0.19999999999999998,-5.199999999999999,26.2,9.0,-37.6,-4.0,0.4885057471264368,174.0,-4.0,0.4891304347826087,184.0,-11.0,0.46496815286624205,157.0,-8.0,0.47530864197530864,162.0,-4.0,0.4891304347826087,184.0,-8.0,0.4696969696969697,132.0,-5.0,0.4878048780487805,205.0,-12.0,0.4605263157894737,152.0,-19.0,0.44508670520231214,173.0,-14.0,0.4588235294117647,170.0,-13.0,0.4624277456647399,173.0,-13.0,0.4563758389261745,149.0,-5.0,0.48717948717948717,195.0,-21.0,0.44502617801047123,191.0,-4.3999999999999995,-3.7,0.0,-2.0
712,2017-11-25,UAB,TX EL PASO,0,-77.0,0.40253164556962023,395.0,15.599999999999998,-41.2,-3.5,-26.1,-22.599999999999998,-41.2,-4.800000000000001,-27.0,26.8,-39.2,19.299999999999997,-44.1,1.8,-0.19999999999999996,4.1,26.700000000000003,23.6,-23.6,-38.0,0.4144144144144144,222.0,-37.0,0.4170403587443946,223.0,-33.0,0.42731277533039647,227.0,-25.0,0.44680851063829785,235.0,-50.0,0.38095238095238093,210.0,-45.0,0.3923444976076555,209.0,-46.0,0.3904761904761905,210.0,-23.0,0.45147679324894513,237.0,-44.0,0.39814814814814814,216.0,-28.0,0.4391304347826087,230.0,-23.0,0.45064377682403434,233.0,-27.0,0.44206008583690987,233.0,-45.0,0.3953488372093023,215.0,-39.0,0.4117647058823529,221.0,18.9,-29.0,0.0,-21.0
713,2017-11-25,UTAH,COLORADO,0,-22.0,0.4126984126984127,126.0,5.3,5.7,3.4999999999999996,4.699999999999999,-12.3,5.7,2.3,4.7,6.5,0.7000000000000002,9.0,3.5999999999999996,-0.6,-1.4,5.799999999999999,24.4,31.0,9.600000000000001,-14.0,0.4492753623188406,138.0,-18.0,0.43283582089552236,134.0,-10.0,0.463768115942029,138.0,-14.0,0.4351851851851852,108.0,-18.0,0.43283582089552236,134.0,-8.0,0.4661016949152542,118.0,-25.0,0.40875912408759124,137.0,-24.0,0.38461538461538464,104.0,5.0,0.5247524752475248,101.0,-28.0,0.36792452830188677,106.0,-22.0,0.37777777777777777,90.0,-8.0,0.45652173913043476,92.0,12.0,0.5454545454545454,132.0,-19.0,0.40594059405940597,101.0,7.8,-5.3,0.0,-10.5
714,2017-11-25,WAKE FOREST,DUKE,0,-36.0,0.2692307692307692,78.0,6.4,16.6,5.0,11.2,-13.4,16.6,3.5999999999999996,11.6,10.8,15.8,10.100000000000001,18.7,1.5,-0.8999999999999999,-2.5,26.5,12.1,12.1,-35.0,0.29411764705882354,85.0,-28.0,0.32051282051282054,78.0,-28.0,0.3055555555555556,72.0,-21.0,0.352112676056338,71.0,-43.0,0.26373626373626374,91.0,-40.0,0.3148148148148148,108.0,-47.0,0.21686746987951808,83.0,-24.0,0.3181818181818182,66.0,-28.0,0.37037037037037035,108.0,-14.0,0.3409090909090909,44.0,-19.0,0.36619718309859156,71.0,-28.0,0.29411764705882354,68.0,-39.0,0.3211009174311927,109.0,-25.0,0.2222222222222222,45.0,14.2,0.3,0.0,-10.5
715,2017-11-25,WASHINGTON,WASH STATE,0,-22.0,0.28,50.0,10.200000000000001,29.4,-0.19999999999999973,6.4,-17.200000000000003,29.4,-1.5000000000000004,8.3,12.100000000000001,17.7,10.600000000000001,31.6,-2.3,0.4999999999999999,-6.1,29.299999999999997,0.0,0.0,-2.0,0.4642857142857143,28.0,-7.0,0.3939393939393939,33.0,-3.0,0.47058823529411764,51.0,-13.0,0.3142857142857143,35.0,-1.0,0.4827586206896552,29.0,2.0,0.5333333333333333,30.0,-8.0,0.3888888888888889,36.0,-18.0,0.23529411764705882,34.0,-4.0,0.43333333333333335,30.0,-13.0,0.32432432432432434,37.0,-8.0,0.36666666666666664,30.0,-9.0,0.3902439024390244,41.0,-6.0,0.39285714285714285,28.0,-12.0,0.38461538461538464,52.0,21.8,2.0,-27.0,-10.0
716,2017-11-25,WISCONSIN,MINNESOTA,1,-82.0,0.09803921568627451,102.0,19.4,24.0,2.7,3.7,-12.399999999999999,24.0,1.7,5.1,23.9,23.1,18.900000000000002,23.7,2.0,-0.20000000000000007,-5.5,27.1,0.0,0.0,-62.0,0.015625,64.0,-61.0,0.03076923076923077,65.0,-60.0,0.03125,64.0,-51.0,0.05263157894736842,57.0,-70.0,0.013888888888888888,72.0,-64.0,0.04285714285714286,70.0,-69.0,0.04,75.0,-56.0,0.12162162162162163,74.0,-76.0,0.036585365853658534,82.0,-58.0,0.10810810810810811,74.0,-55.0,0.04918032786885246,61.0,-56.0,0.1,70.0,-78.0,0.024390243902439025,82.0,-68.0,0.04054054054054054,74.0,19.700000000000003,-7.8,0.0,-17.5
717,2017-11-25,WYOMING,SAN JOSE ST,1,-140.0,0.279874213836478,318.0,26.299999999999997,-31.5,6.9,-16.700000000000003,-19.299999999999997,-31.5,5.5,-17.5,39.8,-30.0,34.1,-37.300000000000004,0.7999999999999999,0.6,1.299999999999999,27.9,0.0,0.0,-61.0,0.34517766497461927,197.0,-71.0,0.3081081081081081,185.0,-57.0,0.3582089552238806,201.0,-57.0,0.35678391959798994,199.0,-72.0,0.3021978021978022,182.0,-73.0,0.28654970760233917,171.0,-70.0,0.31382978723404253,188.0,-51.0,0.37681159420289856,207.0,-67.0,0.32275132275132273,189.0,-69.0,0.3193717277486911,191.0,-67.0,0.32642487046632124,193.0,-55.0,0.3645320197044335,203.0,-86.0,0.25,172.0,-61.0,0.34517766497461927,197.0,34.699999999999996,-5.7,0.0,-17.5
